,index,longitude,latitude,coordinate,true class,feature1,feature2,true target,noisy target,predicted z,confidence,predicted y,reordered predicted z
0,0,7.128472154914084,7.921312283649825,POINT (7.128472154914084 7.921312283649825),1,0.9465493980281536,0.4115861886698777,1.1813079640377868,1.1781978996892948,1,1.0,1.1813079640377866,1
1,521,5.6211410814058915,8.463128479459748,POINT (5.621141081405892 8.463128479459748),1,0.6863700567956921,0.1642443383766773,0.17910307192572406,0.18891653123111565,1,1.0,0.17910307192572394,1
2,525,6.98481867331552,2.632478256881136,POINT (6.98481867331552 2.632478256881136),1,0.8403794733599437,0.013476583441983771,-0.11919077631410503,-0.2384668206103407,1,1.0,-0.11919077631410502,1
3,527,8.761971897829937,7.018799201010113,POINT (8.761971897829937 7.018799201010113),1,0.15945695462795928,0.4397761096360312,0.4787852835360531,0.3858291877143538,1,1.0,0.478785283536053,1
4,528,7.910545433650243,1.7849416446545363,POINT (7.910545433650245 1.784941644654536),1,0.7670176960020212,0.12374199863493918,0.1382436919068386,0.1664719573253899,1,1.0,0.13824369190683872,1
5,530,4.962783360464434,8.254405315407865,POINT (4.962783360464435 8.254405315407865),1,0.17762233132718766,0.11185199859004158,-0.4868216729026876,-0.4714894271733019,1,1.0,-0.48682167290268763,1
6,532,3.940555346329559,5.7495977946960535,POINT (3.940555346329559 5.749597794696054),1,0.15090940130603334,0.736796015111765,1.3612974466413277,1.463355426410174,1,1.0,1.361297446641328,1
7,533,7.516912312064072,7.384137035926888,POINT (7.516912312064072 7.384137035926887),1,0.9139378599503416,0.7402264836715621,2.134617310965027,2.111653564956459,1,1.0,2.1346173109650275,1
8,537,3.804638649667942,7.21667114641988,POINT (3.804638649667942 7.216671146419879),1,0.9906342023110364,0.9400458168487644,2.81077165285733,2.65073813310403,1,1.0,2.81077165285733,1
9,538,8.536376309811942,7.29990138748052,POINT (8.536376309811942 7.29990138748052),1,0.17423820547872992,0.5156289169883531,0.7211249564437892,0.8511129933748262,1,1.0,0.7211249564437892,1
10,540,0.8633445891208025,9.232406855435146,POINT (0.8633445891208025 9.232406855435146),1,0.799543778873051,0.16290729400601378,0.2882656608910923,0.3745652264927752,1,1.0,0.2882656608910923,1
11,541,6.461757977248647,2.37185481625824,POINT (6.461757977248648 2.37185481625824),1,0.07435804728984863,0.8367564067959495,1.5846272676776971,1.4863942817272324,1,1.0,1.5846272676776971,1
12,545,7.881566271817232,1.1270406045111478,POINT (7.881566271817232 1.127040604511148),1,0.2418890955845223,0.9058533573720826,1.95944916770077,2.009726635159925,1,1.0,1.9594491677007702,1
